DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT12R,DA0912DR12R,DAGC4X12R,DAGC5X11R,DA0GR12N,DA0GH12N,DA00A001513R,DA00AR01513R,DA00AW01513R,DA00AM01513R,DA00AC01513R,DA00AS01513R,DB00A001513R,DH00A001513R,DW00A001513R,DI00A001513R,D300A001513R,D400A001513R,D200A001513R,DE00A001513R,DA0CT12R,DA0CC12R,DA0CSA12R,DA0CAA12R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
LAKE DALLAS ISD,061912,061 DENTON,11,Met Standard,5,4007,6.6,24.8,60.8,1.2,2.5,0.2,3.9,36.4,6.2,10.9,6,28.7,7.6,96.1,0,98.8,97.6,260,215,84,87,69,87,86,84,72,78,87,82,90,100,89,75,65.8,26.9,1459,22,555.4,265.9,0.7,3.1,10.8,47.9,10.9,26.7,124049,73660,57911,49444,15.1,7.2,15.1,23.1,11.5,22.2,13.8,0.8,7.1,89.2,3,79.4,13.3,2.3,0.2,3.8,0.9,295235,1.67,40227603,9862,38.5,54.8,6.8,8598497,0,40523813,31728615,7779,55.8,6.3,5.6,12.9,19.5,17696517,4338,62.3,18.3,5.4,1.1,3.1,2,5.6,1.8,0.4,0,"3,000 to 4,999",Other Central City Suburban,"$290,480 to < $310,123",$1.3593 and over
LITTLE ELM ISD,061914,061 DENTON,11,Met Standard,9,6378,14.2,39.5,41,0.4,2,0.1,2.8,45.8,15.2,8.5,16.2,16,4,96.3,1,91.7,93.8,339,293,78,82,60,81,85,73,73,72,84,81,89,67,85,72,66.4,15.6,1352,19.2,720.4,382.5,1,3.1,9.8,53.1,8.6,24.5,108592,76381,58323,50104,26.8,8.9,16.7,33.8,10,24.8,16.2,5,11.2,80.9,2.9,71.1,9.2,4.1,8.6,3.1,3.9,257215,1.54,59462368,9327,42.8,50.6,6.6,11783450,0,56957167,46819567,7344,57.4,6.2,6.4,10.4,19.6,26851835,4212,69,15.6,4.2,1.3,2.4,0.4,3.3,1.4,1.5,1,"5,000 to 9,999",Other Central City Suburban,"$255,082 to < $275,100",$1.3593 and over
CUERO ISD,062901,062 DEWITT,03,Met Standard,5,2086,12.7,44.6,40,0.2,0.5,0,1.9,58.9,2.2,8.3,2.2,23.5,4.4,96.3,0,100,99.2,125,99,74,75,61,77,81,69,61,68,82,-1,78,.,77,63,61.6,28.6,1512,21.1,368.5,156.7,1.1,3.3,7.3,42.5,20.9,25,79610,63235,40666,44487,29.5,5.7,13.3,26.5,13.7,13.9,26.6,1.9,7.9,89.6,0.6,68.1,13.9,8.4,0.2,6.3,3.1,213305,1.287,25317209,12806,43.5,38.1,18.4,6663606,0,23401227,21745992,10999,50.4,9.2,5.4,9.1,25.8,10963341,5545,47.4,28.9,11.9,0.1,3.4,0.2,3.6,0.5,3,1.1,"1,600 to 2,999",Non-metropolitan Stable,"$200,659 to < $226,787",$1.2321 to under $1.3593
NORDHEIM ISD,062902,062 DEWITT,03,Met Standard,1,138,1.4,47.8,50.7,0,0,0,0,58.7,0,12.3,0,29,2.9,95.5,0,88.9,100,9,7,64,70,50,59,70,70,-1,55,76,.,.,.,.,60,33.3,-1,-1,-1,26.6,17,4.9,1.9,0,63.8,7.2,22.2,55679,85000,.,39741,18.7,5.2,8.1,41.2,12.4,11.8,12.5,5.9,11.8,82.4,0,91.8,0.8,0,0,7.4,0,1001512,1.289,2264289,18409,5.4,88.4,6.2,658144,0,2104054,1655663,13461,51.6,17.9,3.2,12.1,15.3,854638,6948,60.9,9.6,13.1,0,6.6,0.2,4.5,0.9,4.2,0,Under 500,Rural,"$678,171 to < $1,930,702",$1.2321 to under $1.3593
YOAKUM ISD,062903,062 DEWITT,03,Met Standard,5,1613,8.7,58.6,30.9,0.2,0.2,0,1.4,70.4,13.6,10.7,13.7,21.6,4.8,96.3,0.2,95.7,98,89,82,71,71,54,75,78,73,53,64,85,89,82,.,65,64,60.7,18.5,1494,20.1,262.4,128.4,1.1,2.7,4.7,48.9,13.3,29.2,87387,66887,42960,39105,25.8,6.1,12.6,23.9,13.1,5.1,20.8,1.8,7.7,90.4,0,68.1,9.6,4.9,6.7,5.6,5,226127,1.27,15030707,9424,53.6,35.6,10.7,1724776,0,15163140,12999024,8150,58.6,6.7,3.5,10.9,20.3,7611127,4772,48.6,13.6,18.7,2.5,3.9,2.8,7.4,1.3,1.4,0,"1,600 to 2,999",Non-metropolitan Stable,"$200,659 to < $226,787",$1.2321 to under $1.3593
YORKTOWN ISD,062904,062 DEWITT,03,Met Standard,3,525,3.6,47,48.8,0.4,0,0,0.2,56.6,0.8,11,0.8,23.6,1.9,96.7,1.1,97.2,97.9,37,26,69,74,66,66,67,68,70,61,75,-1,.,.,-1,62,45.9,23.5,1396,20.2,73.2,42.8,2.7,1.4,2.7,58.5,13.6,21.1,74841,76410,40925,42483,25.6,7.2,12.3,32.7,13.5,4.7,28.2,0,17.2,82.8,0,82,4.6,7.8,0.3,4.7,0.6,260799,0.96,6210940,11502,44.5,47.9,7.7,1912102,0,4701814,4172382,7727,55.1,8.6,6,9.7,20.7,2296945,4254,59.6,11.7,13.2,0.1,5.5,0.2,6.8,0.9,1.2,0.8,500 to 999,Rural,"$255,082 to < $275,100",Under $1.1254
WESTHOFF ISD,062905,062 DEWITT,03,Met Standard,1,69,10.1,36.2,53.6,0,0,0,0,50.7,5.8,5.8,5.8,0,21.7,97.1,.,.,.,.,.,78,89,92,78,46,-1,-1,65,88,.,.,.,.,69,.,.,.,.,15,6.2,5,0,0,41.7,33.3,20,80340,.,.,44803,13.3,4.6,11,32,16.3,4,31.4,0,0,100,0,92,0,8,0,0,0,431838,0.96,1181609,18463,30.9,63.5,5.6,378150,0,991798,852134,13315,54.6,14.2,6.2,10.5,14.4,465117,7267,82,8.4,7.9,0.2,0,1.1,0,0,0.4,0,Under 500,Rural,"$401,088 to < $441,866",Under $1.1254
MEYERSVILLE ISD,062906,062 DEWITT,03,Met Standard,1,122,0,15.6,84.4,0,0,0,0,30.3,0.8,10.7,0.8,0,1.6,96.7,.,.,.,.,.,79,83,77,73,87,88,.,68,82,.,.,.,.,73,.,.,.,.,22.5,10.5,2.2,2.2,0,46.8,26.7,22.1,85000,85000,.,43732,17.8,5.4,11.6,14.6,12.9,0,38,0,0,100,0,90.5,9.5,0,0,0,0,418103,1.04,1764281,11607,53.6,38.4,8,301877,0,1470653,1321611,8695,56.5,8,4.8,12.2,18.5,745996,4908,79.8,9,10.3,0,0,1,0,0,0,0,Under 500,Rural,"$401,088 to < $441,866",Under $1.1254
SPUR ISD,063903,063 DICKENS,17,Met Standard,1,296,2.7,47.3,49,0,0,0,1,54.4,0,9.8,0,33.4,7.1,96.4,0,100,100,11,10,80,83,67,81,93,71,50,76,86,.,.,.,-1,77,-2,8.3,-1,17.3,54.1,27.2,1.8,2.1,5,50.2,11.1,29.8,108038,59926,44506,43630,21.9,5.5,10.9,40.5,13,19.4,19.2,3.7,3.7,92.6,0,83.1,7.2,3.3,0,6.4,0,947373,1.161,5077239,17629,29.8,63.6,6.5,2051933,0,7756611,3410310,11841,49.7,12,6.9,10.9,20.5,1693700,5881,62.5,9.4,14.5,0,8.5,0,4.1,1.1,0,0,Under 500,Rural,"$678,171 to < $1,930,702",$1.1254 to under $1.2321
PATTON SPRINGS ISD,063906,063 DICKENS,17,Met Standard,1,106,0,35.8,64.2,0,0,0,0,83,1.9,6.6,1.9,18.9,10.4,97.1,0,-1,-1,-1,-1,89,95,79,87,90,88,.,85,91,.,.,.,.,88,-1,20,-1,19.4,32.3,13.6,6.2,4.2,3.1,42.2,17.9,26.3,82478,46592,60410,40151,24.1,3.3,7.8,22,14.7,17,34.8,0,7.3,92.7,0,81.7,1.5,7.8,0,9,0,278247,1.17,1567095,16156,56.2,28.1,15.7,279183,0,1845225,1845225,19023,46.6,18.2,6.3,17.3,11.7,860072,8867,62.7,8.5,14.2,0.1,7.2,0.3,3.8,0.6,2.6,0,Under 500,Rural,"$275,100 to < $290,480",$1.1254 to under $1.2321
CARRIZO SPRINGS CISD,064903,064 DIMMIT,20,Met Standard,6,2439,0.7,91.3,7.1,0.1,0.5,0,0.3,74.8,6.9,7.2,6,26.3,8.2,94.2,2.8,80.6,86.5,136,110,61,63,48,67,69,51,83,60,74,-1,96,.,67,57,58.8,7.5,1265,18.1,331.2,146.7,1.4,4.2,7.9,44.3,10.5,31.7,74511,59028,48731,46682,90.4,7.4,16.6,31.3,12.2,8.9,14.4,0,84.4,12.9,2.7,81.6,4.2,3.7,0,3.8,6.7,196024,1.07,28720350,12093,44.5,38.6,16.9,12201862,0,29154193,20825787,8769,50.7,10.5,5.5,11.3,22.1,10561549,4447,46.9,11.7,27.8,0.3,5.4,1.1,3.8,0.8,2.2,0,"1,600 to 2,999",Other Central City Suburban,"$184,624 to < $200,659",Under $1.1254
CLARENDON ISD,065901,065 DONLEY,16,Met Standard,3,472,9.7,14.6,71.2,0,1.1,0.8,2.5,52.8,0.4,9.5,0.2,26.5,6.6,96,0,100,86.7,41,34,82,84,71,79,93,86,73,72,85,.,100,60,97,79,73.2,20,-1,19.8,88.8,48,1.1,3.4,6.8,54,13.5,21.2,103560,71611,45941,41307,9.4,5.3,9.8,20.8,14.1,16.7,8.2,0,4.2,95.8,0,73.2,6.2,8.2,0,6.5,5.9,263793,1.04,5613956,11273,59.9,27.9,12.2,687402,0,5489397,5118832,10279,56,7.4,7,9.9,19.7,2866785,5757,49.8,16.3,20.2,0.1,5.3,0.8,5.2,1,0,1.4,Under 500,Rural,"$255,082 to < $275,100",Under $1.1254
HEDLEY ISD,065902,065 DONLEY,16,Met Standard,1,116,0,19.8,74.1,1.7,0,0,4.3,62.1,0,6.9,0,58.6,1.7,96.3,0,100,100,15,10,76,86,69,86,62,63,.,71,77,88,.,.,75,77,60,11.1,.,20.2,26.5,18.2,3.8,1.2,0,68.6,7.5,18.9,62057,52500,.,41481,0,4.4,6.4,24.8,16.6,12,30.9,0,0,100,0,81.8,8.4,1.9,0,7.8,0,344315,1.1,1775282,14918,63.3,27.7,9,469330,0,1673984,1580563,13282,61.4,13,2.8,10,12.8,970130,8152,61.6,8,12.4,0.2,9.6,1.1,4.9,1.6,0.6,0,Under 500,Rural,"$338,619 to < $381,395",Under $1.1254
RAMIREZ CSD,066005,066 DUVAL,02,Improvement Required,1,27,0,92.6,7.4,0,0,0,0,92.6,48.1,7.4,48.1,0,0,93,.,.,.,.,.,54,64,-1,-1,-1,.,.,45,83,.,.,.,.,48,.,.,.,.,8.8,2,8.7,0,0,22.8,22.8,45.6,92387,.,.,45390,65.8,3.1,13.5,0,33,0,50,0,50,50,0,100,0,0,0,0,0,687286,1.04,618170,16268,42.1,41,16.8,-1026,0,609185,586352,15430,39.8,21.5,7.7,10.1,20.8,233585,6147,39,9.5,44.7,3.5,0,0,0,0,3.3,0,Under 500,Rural,"$678,171 to < $1,930,702",Under $1.1254
BENAVIDES ISD,066901,066 DUVAL,02,Met Standard,2,358,0,86,13.7,0.3,0,0,0,70.7,7,11.2,6.7,30.2,6.1,94,1.7,100,100,31,28,66,75,63,67,65,51,.,66,91,-1,.,.,.,63,71,4.5,1320,17.5,69.7,28,4.3,2.9,6.5,40.2,15.7,30.5,65763,62500,46202,39384,96.2,5.1,12.8,41,11.5,16.1,26.4,0,96.4,3.6,0,73.9,9.3,3.9,2,9.5,1.4,791713,1.277,5644368,15635,27.9,58.3,13.8,1185320,0,5146283,4378196,12128,42.5,12.2,5.8,17.7,21.8,1862302,5159,47.2,13.2,18.4,0.3,8.5,0.3,8.4,1.1,1.9,0.8,Under 500,Rural,"$678,171 to < $1,930,702",$1.2321 to under $1.3593
SAN DIEGO ISD,066902,066 DUVAL,02,Met Standard,3,1342,0.1,98.5,1.1,0.1,0,0,0.1,78.8,3.8,7.5,3.2,30.3,8.3,92.4,1,90.6,83.8,80,69,60,65,44,62,67,53,.,60,59,-1,.,.,-1,57,60,4.2,-1,17.1,191.6,93,1,3.1,5.2,48.5,0,42.1,73943,68147,59364,42704,94.3,7,14.4,30.1,11.6,15,24.6,0,85,7.5,7.5,87.1,6.4,3.3,0.7,1,1.6,96401,1.445,14549902,11048,66,18.4,15.5,1965709,0,13775684,11882388,9022,48.3,8.5,4.9,17.4,21,5733987,4354,47.2,20,17.4,0.2,4.4,0.3,7,1.2,0.2,2.2,"1,000 to 1,599",Non-metropolitan Stable,"Under $100,904",$1.3593 and over
FREER ISD,066903,066 DUVAL,02,Improvement Required,3,803,0.2,89.4,9.2,0.1,0.6,0,0.4,69.6,4.7,10.8,4.5,28.6,4.2,94.6,3.3,92.7,88.9,58,49,59,64,42,64,60,53,-1,59,60,-1,-1,.,-1,54,50,6.9,.,17.2,109.8,60.1,3.6,3.6,8.9,54.7,10,19,101361,68346,44505,46696,80,7.3,13.4,39.9,10.7,25,34.7,1.7,68.4,29.9,0,88.1,4.8,1.7,0,5.4,0,483488,1.472,10824755,12602,39.2,50.6,10.2,2540367,0,10195304,8584439,9994,49.9,7.9,4.6,16.2,21.4,4286823,4990,39.8,14.4,29.1,0.2,6,0.3,6.2,1.2,2.7,0,500 to 999,Rural,"$478,896 to < $520,538",$1.3593 and over
CISCO ISD,067902,067 EASTLAND,14,Met Standard,4,878,0.7,17.7,78.9,0.5,0.1,0,2.2,61.6,1.7,10.4,1.4,29.4,7.5,96.6,0,98.6,95,66,45,87,91,78,87,89,85,94,86,88,-1,.,.,88,84,40.9,14.8,1440,21.1,139.4,78.1,2.2,2.5,3.2,56,15.4,20.7,47834,50450,47359,40684,6.1,6.3,11.2,10.9,14.1,6.5,11.1,0,1.3,98.7,0,75.8,9.3,6.9,0.1,6.8,1.1,506745,1.17,9614166,11205,34,58.7,7.2,2347495,0,7837749,7419273,8647,58.7,5.2,6.4,10.8,18.8,4357117,5078,60.2,16.2,8.8,0.1,6.3,1.7,5.3,1.4,0,0,500 to 999,Non-metropolitan Stable,"$478,896 to < $520,538",$1.1254 to under $1.2321
EASTLAND ISD,067903,067 EASTLAND,14,Met Standard,4,1145,2,25.9,70.5,0.3,0.9,0,0.5,58.4,9.1,9.3,8.8,31.4,2.6,95,3,82.7,86.9,66,50,80,83,63,83,86,79,76,74,82,88,100,.,.,74,72.7,12.5,1407,20.1,171.1,95.1,1.2,1.4,2.7,55.6,16.2,22.9,85077,74584,35946,40323,6.6,6.7,12,26.3,13.5,16.3,17.7,0,0,100,0,80.9,7.8,3.9,0.8,6.6,0,310709,1.04,10424548,9033,43.4,43.1,13.5,1602693,0,11675284,8536661,7397,62.4,5.7,5.7,9.4,16.9,5327081,4616,60.6,13.4,11.4,0.4,6.4,0.3,5.4,1.1,1,0,"1,000 to 1,599",Non-metropolitan Stable,"$310,123 to < $317,535",Under $1.1254
GORMAN ISD,067904,067 EASTLAND,14,Met Standard,3,330,0.6,38.5,57.6,0,0,0,3.3,68.8,3.9,10.9,3.6,26.7,6.4,96.5,0,95,95,20,17,77,79,64,82,83,69,-1,72,79,.,.,.,91,70,60,16.7,1340,-1,63.8,26.5,1.6,3.1,6.5,41.5,17.2,30,83800,65527,47787,42302,13.3,5.2,12.5,15.1,14.7,26.4,31.2,0,1.9,98.1,0,75.7,7.4,6.9,0,7.5,2.4,173982,1.39,5642372,17856,41.7,33.7,24.6,652729,0,5083676,4680165,14811,44.6,14.4,5.7,10.8,24.4,2088902,6610,26.7,58.2,8.4,0.1,2.8,0.3,2.4,0.5,0.7,0,Under 500,Rural,"$148,669 to < $184,624",$1.3593 and over
RANGER ISD,067907,067 EASTLAND,14,Met Standard,3,452,2.4,22.1,72.8,0.9,0.7,0,1.1,76.5,1.3,13.7,1.3,22.1,6.4,94.9,1.5,96.8,95.5,29,23,65,70,53,62,72,63,65,69,64,-1,-1,.,100,61,89.7,3.8,1282,19.1,77.7,41.8,0.7,3.9,3.4,53.9,15.3,22.9,65445,68564,49904,40507,7.7,5.8,10.8,21.5,14.2,26.3,21.6,0,7.2,92.8,0,80.9,10.7,3.7,0,4.6,0,194277,1.04,4724452,10383,65.4,22.4,12.3,831399,0,4343209,4268967,9382,55.9,8.3,5.2,9.7,21,2385296,5242,52.7,19.3,15.5,0,5.4,0.9,5.2,1.1,0,0,Under 500,Rural,"$184,624 to < $200,659",Under $1.1254
RISING STAR ISD,067908,067 EASTLAND,14,Met Standard,2,191,0,20.9,77.5,0,0.5,0,1,73.3,5.8,8.9,5.8,43.5,4.7,97.2,0,90.9,100,10,8,87,92,76,89,85,87,.,86,87,.,.,.,100,88,60,0,-1,18.5,40.9,22,2.4,2.4,2.4,53.8,8.4,30.4,98160,55959,15000,37769,14.6,4.7,8.7,43.2,10.2,11.4,32.6,0,11.4,88.6,0,69.2,8.8,7,0.7,14.1,0.1,170631,1.17,2361134,11985,64.8,21.3,14,513067,0,2584715,2443338,12403,60.4,10.7,5.6,9.1,14.2,1475547,7490,61.3,10.7,14.9,0,8.6,0.3,3.8,0.4,0,0,Under 500,Rural,"$148,669 to < $184,624",$1.1254 to under $1.2321
RICHARD MILBURN ACADEMY (ECTOR COU,068801,068 ECTOR,18,Met Alternative Standard,3,642,5.6,62.3,30.1,0.6,0.2,0,1.2,62.8,0,11.2,0,44.1,0,87,14.7,54.4,54.1,216,131,51,56,29,51,62,53,42,46,63,-1,.,.,47,47,2.3,0,-1,-1,66.5,35.9,3,4.5,6.7,54,11.7,20.1,39914,74930,33452,39155,33.3,9.7,17.9,53.5,9.7,31.4,35.7,16.5,17.6,63,2.9,85.4,4.3,0,0,10.3,0,.,.,5674945,8072,90.2,0,9.7,0,132309,5575205,5575205,7931,40.4,23.9,11.5,12.8,11.4,2249621,3200,55.4,10.6,23.2,0,5.3,0,0.3,5.3,0,0,500 to 999,Charters,Non-taxing entities,Non-taxing entities
COMPASS ACADEMY CHARTER SCHOOL,068802,068 ECTOR,18,Met Standard,1,373,1.6,32.2,63.8,0,0.3,0.3,1.9,30.3,0.5,4,0.5,0,8.8,95.9,.,.,.,.,.,56,67,.,45,.,.,-1,37,69,.,.,.,-1,58,.,.,.,.,28,21.7,1.8,1.8,7.1,77.3,3.6,8.4,65000,65000,50000,43346,25,13.3,17.2,49.9,5.9,13.8,14.3,4.6,18.5,76.9,0,100,0,0,0,0,0,.,.,1923752,7695,82.5,15.8,1.8,0,-18148,1547531,1512591,6050,70.8,8.5,4.3,10.7,5.7,1071537,4286,92,4.7,2.7,0,0,0.6,0,0,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
ECTOR COUNTY ISD,068901,068 ECTOR,18,Met Standard,38,29575,3.9,70.9,22.7,0.4,0.8,0.2,1,51.9,13.7,7.3,12.8,14.5,6.8,94.3,2.6,78.9,82.8,1203,969,64,68,49,64,72,62,56,60,74,68,91,65,74,55,39.5,20.8,1396,20.6,3306.1,1715.6,0.2,3,10.6,51.9,6.3,28.1,132796,71104,57064,48043,48.7,8.9,17.2,38.7,10.7,20.6,21,3.6,32.2,61.3,3,65.4,9.7,2.9,12.7,2.7,6.7,351728,1.132,232033010,8171,34.8,53.5,11.7,40203151,0,221203900,204092640,7187,57.7,6.1,6.2,10.7,19.3,117740754,4146,65.9,12.6,11.2,1,2,0.7,2.5,1.3,1.7,1.1,"25,000 to 49,999",Other Central City,"$338,619 to < $381,395",$1.1254 to under $1.2321
ROCKSPRINGS ISD,069901,069 EDWARDS,15,Met Standard,1,271,0,81.2,18.8,0,0,0,0,71.6,5.5,7.7,5.2,33.2,4.4,96.4,0,100,100,15,11,64,67,45,65,69,71,.,60,87,.,.,.,.,56,80,16.7,-1,17.7,57.3,27.8,1.7,2.6,4.4,48.5,17.3,25.5,85000,67667,53806,41304,47.3,4.7,9.8,29.8,11.4,25.2,32.2,0,25.2,74.8,0,74.3,13.2,4.7,0,6,1.8,1009498,1.04,4286848,15256,31.7,56.8,11.6,1871798,0,3838572,3781831,13458,51.2,11.7,5.5,11.8,19.8,1935849,6889,46.5,16.5,21,0.3,5.7,0.1,8.2,0.5,0.2,1,Under 500,Rural,"$678,171 to < $1,930,702",Under $1.1254
NUECES CANYON CISD,069902,069 EDWARDS,15,Met Standard,2,254,0,52.8,46.1,0,0,0,1.2,64.6,2,12.6,0,43.3,4.3,95.3,0.9,100,95.2,28,16,84,87,71,80,88,89,.,80,88,.,.,.,-1,85,82.1,13,-1,18.3,58,27.9,2.6,2.4,2.9,48.2,13.8,30.2,69827,56650,42735,42503,19.9,4.4,9.1,14.3,16.7,9.8,19.3,0,3.6,96.4,0,87,3.6,0,0,9.4,0,747738,1.17,4033916,14154,24.4,65.1,10.5,327311,0,3972883,3854679,13525,48,12.8,4.2,13.1,21.9,1849608,6490,50.4,8.8,23.5,0,7.1,0.2,9.1,1,0,0,Under 500,Rural,"$678,171 to < $1,930,702",$1.1254 to under $1.2321
WAXAHACHIE FAITH FAMILY ACADEMY,070801,070 ELLIS,10,Improvement Required,3,450,24,29.6,44,0.4,0,0,2,43.8,10.9,4.7,10.7,17.3,0,95.3,1.2,82.4,93.8,16,12,56,66,33,50,60,74,46,45,65,-1,.,.,.,42,18.8,-1,-1,-1,53.3,29.8,4.1,0,11.6,55.9,1.9,26.5,71364,.,32276,42309,22.5,8.4,15.1,89.9,4.1,16.6,50.4,3.4,9.6,83.7,3.4,86.7,3.9,0,0,9.4,0,.,.,2968549,7068,87.8,1.4,10.9,0,472216,2871471,2651564,6313,57.9,11.3,1.2,13.6,16,1535063,3655,74.5,5.7,13.2,0.2,4,0,1.4,1,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
AVALON ISD,070901,070 ELLIS,10,Met Standard,1,321,1.2,40.5,57.9,0,0,0.3,0,65.7,4.7,12.5,4.7,19,5,96.4,1.2,100,100,19,16,86,88,80,87,92,80,100,84,87,.,.,-1,.,84,42.1,12.5,1256,-1,45.4,23.4,4.2,6,2.2,51.5,17.6,18.5,83385,55256,69582,40983,30.7,7.1,13.7,55.6,8,10.2,1.7,5.5,21.4,68.9,4.3,86,8.7,0,0,5.4,0,112207,1.233,3404096,11423,71.7,22.2,6,547621,0,4341473,2810049,9430,52.5,11.1,7.7,12.6,16,1476340,4954,66.6,14.3,13.2,0.9,3.7,0,0.5,0.1,0,0.7,Under 500,Non-metropolitan Fast Growing,"$100,904 to < $148,669",$1.2321 to under $1.3593
ENNIS ISD,070903,070 ELLIS,10,Met Standard,10,5782,11.5,54.4,32.4,0.1,0.3,0.3,1.1,69.5,13.3,9.9,13.3,24.6,7.7,96.2,0.7,95.2,96.8,328,255,73,76,56,79,78,64,61,69,82,91,81,79,77,67,55.5,14.8,1414,19.1,718.5,383,1.9,2.8,7.6,53.3,15.2,19.2,81071,69943,54597,48984,27.7,8,15.1,24.2,14.3,23.6,10,6.8,7.6,84.3,1.3,65.6,9.7,4.4,8.3,5.2,6.8,288527,1.54,56345118,9653,38.9,50.1,11,10130889,0,56270117,45749466,7838,57.8,5.8,5,11.1,20.2,26453522,4532,56.3,16.8,10.1,2.4,4.3,2.8,3,1.1,1.7,1.6,"5,000 to 9,999",Other Central City,"$275,100 to < $290,480",$1.3593 and over
FERRIS ISD,070905,070 ELLIS,10,Met Standard,5,2406,6.9,67.7,23.9,0.6,0.2,0,0.6,79.5,22.1,8.9,21.4,25.7,3.9,97,0.4,96.9,93.8,157,128,72,76,55,73,76,73,66,71,74,76,-1,-1,76,70,58,12.1,1293,18.6,329.8,148.9,1.2,3.6,5.8,45.1,8.2,36.1,114954,72529,61333,43243,32.8,7.3,16.2,46.9,9.4,10.1,20.5,2.7,9.4,84.6,3.4,74.5,7.1,7.7,3.9,4.3,2.5,128215,1.306,25790084,10535,65.8,18.1,16.1,2639557,0,25622567,23178607,9468,55.6,4.7,6.7,10.8,22.2,12876271,5260,39.7,30.1,12.1,5,3.7,1.1,3.1,1,2.8,1.3,"1,600 to 2,999",Major Suburban,"$100,904 to < $148,669",$1.2321 to under $1.3593
ITALY ISD,070907,070 ELLIS,10,Met Standard,2,544,16,30.9,49.8,0.7,0.4,0,2.2,61.9,8.3,10.7,8.3,30.9,5.9,96.5,0,97.2,95.3,36,30,77,81,59,87,77,66,60,74,82,.,.,.,75,71,69.4,4,1247,18,78.5,47.6,2.5,2.5,5,60.6,10.2,19.1,77750,74000,44292,41374,21.7,6.9,11.4,23.7,11,22.1,30.8,2.1,8.4,89.5,0,82,8.7,0,2.7,6.3,0.3,173075,1.247,5867369,10422,68,22.2,9.8,2987530,0,5354327,5106955,9071,55.9,10.7,3.7,12.4,17.4,2853039,5068,61.4,12,11.8,0.4,7.7,0.5,4.6,1.5,0.1,0,500 to 999,Rural,"$148,669 to < $184,624",$1.2321 to under $1.3593
MIDLOTHIAN ISD,070908,070 ELLIS,10,Met Standard,9,7524,4.7,20.7,70.6,0.6,1.3,0.1,2,25.2,3.3,9.7,3.3,20.9,6.6,96.8,0.4,95.6,96.8,496,395,88,90,76,89,92,86,84,81,90,88,95,89,81,81,68.3,35.1,1507,22,838.7,456.3,1.3,3,9.5,54.4,9.4,22.4,94283,67397,53564,47882,12.7,9,16.5,26.5,12.6,20.6,11.9,0.9,4.9,94,0.2,76.5,10.5,2,2.3,3.2,5.5,362910,1.54,77740980,10337,35.2,60,4.8,14852766,0,71655344,53310990,7088,58.7,5.5,5.9,10.9,19,31272911,4158,62,17.7,3.8,2.2,3.4,4.2,4.3,1.9,0.5,0,"5,000 to 9,999",Other Central City,"$338,619 to < $381,395",$1.3593 and over
MILFORD ISD,070909,070 ELLIS,10,Met Standard,1,228,21.1,26.8,44.3,1.3,0,0,6.6,78.5,9.2,12.3,9.2,19.3,3.1,97.3,0,88.9,96,8,6,83,81,71,90,84,82,89,77,83,.,.,.,88,82,75,0,.,17.7,40.7,22,2.5,4.9,0,54.1,17.2,21.3,110250,70930,.,42319,34.3,5.6,10.4,27.3,13.5,4.5,18.2,9.1,0,86.4,4.5,80.5,7.5,4.5,0,7.5,0,299902,1.158,2469686,11381,52.8,36.4,10.9,205182,0,2546568,2425110,11176,58.5,13.9,7.7,8.8,11.1,1417429,6532,64,12.1,11.2,0.6,4.1,0.2,3.3,0.7,3.2,0.6,Under 500,Rural,"$290,480 to < $310,123",$1.1254 to under $1.2321
